gene	tissue	Gene	CHR	START_POS	END_POS	arm
ENSR00000000254	Skin_sun	ENSR00000000254	1	1839440	1841639	1p36.33
ENSR00000004715	Skin_sun	ENSR00000004715	1	36311078	36311927	1p34.3
ENSR00000013460	Brain_Cer	ENSR00000013460	1	149989361	149989560	1q21.2
ENSR00000013478	Nerve	ENSR00000013478	1	150149027	150149635	1q21.2
ENSR00000013481	Nerve	ENSR00000013481	1	150158247	150160257	1q21.2
ENSR00000013516	Pituitary	ENSR00000013516	1	150516077	150516477	1q21.3
ENSR00000013533	Artery_cor	ENSR00000013533	1	150607707	150608002	1q21.3
ENSR00000021120	Adipose_sub	ENSR00000021120	1	226808025	226808575	1q42.12
ENSR00000021120	Pituitary	ENSR00000021120	1	226808025	226808575	1q42.12
ENSR00000022815	Adipose_sub	ENSR00000022815	1	243657103	243657302	1q43
ENSR00000022815	Skin_sun	ENSR00000022815	1	243657103	243657302	1q43
ENSR00000022815	Adrenal	ENSR00000022815	1	243657103	243657302	1q43
ENSR00000022815	Artery_tib	ENSR00000022815	1	243657103	243657302	1q43
ENSR00000022821	Nerve	ENSR00000022821	1	243682248	243682693	1q43
ENSR00000022919	Testis	ENSR00000022919	1	244504609	244505702	1q44
ENSR00000022927	Testis	ENSR00000022927	1	244545102	244545903	1q44
ENSR00000254381	Uterus	ENSR00000254381	1	149925113	149925912	1q21.2
ENSR00000254386	Nerve	ENSR00000254386	1	150159653	150160057	1q21.2
ENSR00000254386	Colon_sigmoid	ENSR00000254386	1	150159653	150160057	1q21.2
ENSR00000254386	Uterus	ENSR00000254386	1	150159653	150160057	1q21.2
ENSR00000255361	Colon_sigmoid	ENSR00000255361	1	173462340	173462739	1q25.1
ENSR00000257035	Skin_sun	ENSR00000257035	1	226810102	226810701	1q42.12
ENSR00000025006	Minor_salivary_gland	ENSR00000025006	10	16482400	16483799	10p13
ENSR00000032673	Cells_ebv	ENSR00000032673	10	103728359	103729557	10q24.32
ENSR00000032823	Brain_Cerebellum	ENSR00000032823	10	104669713	104670164	10q24.32
ENSR00000032845	Artery_tib	ENSR00000032845	10	104905358	104905557	10q24.33
ENSR00000032851	Colon_transverse	ENSR00000032851	10	104956558	104958357	10q24.33
ENSR00000039621	Testis	ENSR00000039621	11	47056633	47057075	11p11.2
ENSR00000040810	Esophagus_mus	ENSR00000040810	11	65077639	65077997	11q13.1
ENSR00000045124	Skin_no_sun	ENSR00000045124	11	113248343	113248811	11q23.2
ENSR00000047762	Breast	ENSR00000047762	12	2049215	2049489	12p13.33
ENSR00000047799	Heart_Left	ENSR00000047799	12	2294996	2295542	12p13.33
ENSR00000055801	Cells_ebv	ENSR00000055801	12	95173144	95173856	12q22
ENSR00000057230	Vagina	ENSR00000057230	12	110311443	110311775	12q24.11
ENSR00000058625	Whole_blood	ENSR00000058625	12	123166292	123167040	12q24.31
ENSR00000269652	Cells_ebv	ENSR00000269652	12	95175777	95176176	12q22
ENSR00000270189	Testis	ENSR00000270189	12	111038006	111038605	12q24.11
ENSR00000270192	Brain_Sub	ENSR00000270192	12	111103006	111103205	12q24.11
ENSR00000270192	Cells_ebv	ENSR00000270192	12	111103006	111103205	12q24.11
ENSR00000062054	Uterus	ENSR00000062054	13	44404337	44405238	13q14.11
ENSR00000062059	Stomach	ENSR00000062059	13	44421937	44422737	13q14.11
ENSR00000069213	Adipose_vis	ENSR00000069213	14	60561719	60563317	14q23.1
ENSR00000073569	Pancreas	ENSR00000073569	14	103978938	103979938	14q32.32
ENSR00000274076	Ovary	ENSR00000274076	14	35508007	35508206	14q13.2
ENSR00000075855	Brain_Cer	ENSR00000075855	15	43844477	43844944	15q15.3
ENSR00000080369	Pituitary	ENSR00000080369	15	84811541	84812023	15q25.2
ENSR00000080369	Testis	ENSR00000080369	15	84811541	84812023	15q25.2
ENSR00000080375	Testis	ENSR00000080375	15	84891752	84891953	15q25.2
ENSR00000278486	Testis	ENSR00000278486	15	78988143	78988542	15q25.1
ENSR00000278747	Testis	ENSR00000278747	15	84882353	84885152	15q25.2
ENSR00000278747	Brain_Cortex	ENSR00000278747	15	84882353	84885152	15q25.2
ENSR00000278748	Pituitary	ENSR00000278748	15	84885553	84886152	15q25.2
ENSR00000278752	Pituitary	ENSR00000278752	15	85761697	85764092	15q25.3
ENSR00000085056	Esophagus_gast	ENSR00000085056	16	29532625	29533539	16p11.2
ENSR00000085056	Adrenal	ENSR00000085056	16	29532625	29533539	16p11.2
ENSR00000089698	Spleen	ENSR00000089698	16	89453036	89453328	16q24.3
ENSR00000090205	Spleen	ENSR00000090205	17	2098294	2099295	17p13.3
ENSR00000094945	Brain_Put	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Cer	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Cortex	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Spleen	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Hypo	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Testis	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Cau	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094946	Adrenal	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Stomach	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Colon_transverse	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Esophagus_mus	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Put	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Cortex	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Spleen	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Testis	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Prostate	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Esophagus_muc	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Adipose_vis	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Nuc	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094947	Brain_Fro	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Brain_Spi	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Cells_ebv	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Spleen	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Lung	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Brain_Cortex	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Esophagus_muc	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Stomach	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Prostate	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Adipose_vis	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094948	Brain_Cer	ENSR00000094948	17	43651402	43652191	17q21.31
ENSR00000094992	Brain_Cer	ENSR00000094992	17	44081168	44081911	17q21.31
ENSR00000094992	Brain_Cau	ENSR00000094992	17	44081168	44081911	17q21.31
ENSR00000095056	Thyroid	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Adipose_sub	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Colon_transverse	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Ovary	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Amy	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Lung	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Cerebellum	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Fro	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Cortex	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Nuc	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095057	Pancreas	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095057	Brain_Ant	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095057	Brain_Fro	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095057	Colon_sigmoid	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095057	Lung	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095058	Lung	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Brain_Cerebellum	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Pancreas	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Brain_Fro	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Breast	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Esophagus_mus	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Brain_Ant	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Artery_tib	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Stomach	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Adipose_vis	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095059	Colon_sigmoid	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Pancreas	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Lung	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Esophagus_mus	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Nerve	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Ant	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Hypo	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Cer	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Cortex	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Stomach	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Put	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Amy	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Colon_transverse	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Breast	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Artery_tib	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095079	Pancreas	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Brain_Amy	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Lung	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Esophagus_mus	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Brain_Ant	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Nerve	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Heart_Atr	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Stomach	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Brain_Cerebellum	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Brain_Put	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Breast	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000283527	Breast	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Cells_ebv	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Brain_Fro	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Brain_Nuc	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Spleen	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Esophagus_muc	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Brain_Hypo	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Stomach	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Adipose_vis	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Thyroid	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Lung	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Pancreas	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000286881	Nerve	ENSR00000286881	18	77352801	77353200	18q23
ENSR00000105901	Artery_cor	ENSR00000105901	19	2600202	2600611	19p13.3
ENSR00000108223	Skin_no_sun	ENSR00000108223	19	19439610	19440436	19p13.11
ENSR00000108234	Testis	ENSR00000108234	19	19488410	19489209	19p13.11
ENSR00000116923	Cells_ebv	ENSR00000116923	2	48579541	48581738	2p16.3
ENSR00000119069	Brain_Cerebellum	ENSR00000119069	2	73943328	73944527	2p13.1
ENSR00000119070	Brain_Cerebellum	ENSR00000119070	2	73944928	73945127	2p13.1
ENSR00000119271	Spleen	ENSR00000119271	2	75475635	75476124	2p12
ENSR00000128402	Cells_ebv	ENSR00000128402	2	198079525	198079924	2q33.1
ENSR00000128414	Lung	ENSR00000128414	2	198118326	198124723	2q33.1
ENSR00000128414	Cells_ebv	ENSR00000128414	2	198118326	198124723	2q33.1
ENSR00000128481	Esophagus_mus	ENSR00000128481	2	198748085	198748459	2q33.1
ENSR00000128481	Brain_Cau	ENSR00000128481	2	198748085	198748459	2q33.1
ENSR00000128481	Brain_Fro	ENSR00000128481	2	198748085	198748459	2q33.1
ENSR00000128482	Brain_Amy	ENSR00000128482	2	198753126	198754524	2q33.1
ENSR00000128482	Brain_Fro	ENSR00000128482	2	198753126	198754524	2q33.1
ENSR00000128482	Brain_Hypo	ENSR00000128482	2	198753126	198754524	2q33.1
ENSR00000128482	Brain_Sub	ENSR00000128482	2	198753126	198754524	2q33.1
ENSR00000128482	Heart_Left	ENSR00000128482	2	198753126	198754524	2q33.1
ENSR00000128593	Esophagus_muc	ENSR00000128593	2	200662102	200662758	2q33.1
ENSR00000128593	Pancreas	ENSR00000128593	2	200662102	200662758	2q33.1
ENSR00000128680	Small_intestine	ENSR00000128680	2	201261724	201261923	2q33.1
ENSR00000128680	Brain_Hypo	ENSR00000128680	2	201261724	201261923	2q33.1
ENSR00000128681	Brain_Hypo	ENSR00000128681	2	201262438	201262973	2q33.1
ENSR00000291572	Brain_Cerebellum	ENSR00000291572	2	73846928	73847527	2p13.1
ENSR00000291574	Nerve	ENSR00000291574	2	73855328	73855527	2p13.1
ENSR00000291575	Brain_Cerebellum	ENSR00000291575	2	73857528	73858327	2p13.1
ENSR00000291586	Brain_Cerebellum	ENSR00000291586	2	73939928	73942327	2p13.1
ENSR00000291586	Prostate	ENSR00000291586	2	73939928	73942327	2p13.1
ENSR00000291587	Brain_Cer	ENSR00000291587	2	73948528	73949727	2p13.1
ENSR00000291587	Brain_Cau	ENSR00000291587	2	73948528	73949727	2p13.1
ENSR00000291587	Pituitary	ENSR00000291587	2	73948528	73949727	2p13.1
ENSR00000291589	Testis	ENSR00000291589	2	74050928	74051527	2p13.1
ENSR00000295531	Brain_Spi	ENSR00000295531	2	200672724	200673123	2q33.1
ENSR00000136921	Small_intestine	ENSR00000136921	20	36703803	36705002	20q11.23
ENSR00000137038	Testis	ENSR00000137038	20	37408444	37408643	20q11.23
ENSR00000144537	Skin_no_sun	ENSR00000144537	22	25939684	25940567	22q12.1
