gene	tissue	Gene	CHR	START_POS	END_POS	arm
ENSR00000007434	Brain_Cau	ENSR00000007434	1	61030454	61030839	1p32.1
ENSR00000013459	Brain_Cer	ENSR00000013459	1	149987661	149988125	1q21.2
ENSR00000013460	Brain_Cer	ENSR00000013460	1	149989361	149989560	1q21.2
ENSR00000032823	Brain_Cerebellum	ENSR00000032823	10	104669713	104670164	10q24.32
ENSR00000037509	Brain_Amy	ENSR00000037509	11	17365434	17365865	11p15.1
ENSR00000270192	Brain_Sub	ENSR00000270192	12	111103006	111103205	12q24.11
ENSR00000075855	Brain_Cer	ENSR00000075855	15	43844477	43844944	15q15.3
ENSR00000278747	Brain_Cortex	ENSR00000278747	15	84882353	84885152	15q25.2
ENSR00000093028	Brain_Nuc	ENSR00000093028	17	29046419	29046818	17q11.2
ENSR00000094945	Brain_Cer	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Put	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Hypo	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Cau	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Cortex	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094946	Brain_Nuc	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Cerebellum	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Cortex	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Cer	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Put	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094947	Brain_Fro	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Brain_Spi	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Brain_Cortex	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Brain_Cer	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Brain_Cerebellum	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094948	Brain_Cer	ENSR00000094948	17	43651402	43652191	17q21.31
ENSR00000094992	Brain_Cau	ENSR00000094992	17	44081168	44081911	17q21.31
ENSR00000095056	Brain_Amy	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Nuc	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Cortex	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Fro	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Cerebellum	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095057	Brain_Ant	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095057	Brain_Fro	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095057	Brain_Put	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095058	Brain_Fro	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Brain_Cerebellum	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095058	Brain_Ant	ENSR00000095058	17	44423367	44423566	17q21.31
ENSR00000095059	Brain_Cortex	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Amy	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Nuc	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Hypo	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Ant	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Hippo	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Cer	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095059	Brain_Cerebellum	ENSR00000095059	17	44425167	44426566	17q21.31
ENSR00000095079	Brain_Ant	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Brain_Amy	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000095079	Brain_Hypo	ENSR00000095079	17	44643167	44644566	17q21.31
ENSR00000283039	Brain_Nuc	ENSR00000283039	17	29046219	29047018	17q11.2
ENSR00000283527	Brain_Fro	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000283527	Brain_Hypo	ENSR00000283527	17	43578767	43579166	17q21.31
ENSR00000289278	Brain_Nuc	ENSR00000289278	19	57256169	57257168	19q13.43
ENSR00000116923	Brain_Cerebellum	ENSR00000116923	2	48579541	48581738	2p16.3
ENSR00000119069	Brain_Cerebellum	ENSR00000119069	2	73943328	73944527	2p13.1
ENSR00000119070	Brain_Cerebellum	ENSR00000119070	2	73944928	73945127	2p13.1
ENSR00000128481	Brain_Fro	ENSR00000128481	2	198748085	198748459	2q33.1
ENSR00000128481	Brain_Cau	ENSR00000128481	2	198748085	198748459	2q33.1
ENSR00000128482	Brain_Hypo	ENSR00000128482	2	198753126	198754524	2q33.1
ENSR00000128482	Brain_Fro	ENSR00000128482	2	198753126	198754524	2q33.1
ENSR00000128482	Brain_Sub	ENSR00000128482	2	198753126	198754524	2q33.1
ENSR00000128482	Brain_Amy	ENSR00000128482	2	198753126	198754524	2q33.1
ENSR00000128680	Brain_Hypo	ENSR00000128680	2	201261724	201261923	2q33.1
ENSR00000291572	Brain_Cerebellum	ENSR00000291572	2	73846928	73847527	2p13.1
ENSR00000291575	Brain_Cerebellum	ENSR00000291575	2	73857528	73858327	2p13.1
ENSR00000291586	Brain_Cerebellum	ENSR00000291586	2	73939928	73942327	2p13.1
ENSR00000291587	Brain_Cer	ENSR00000291587	2	73948528	73949727	2p13.1
ENSR00000295531	Brain_Spi	ENSR00000295531	2	200672724	200673123	2q33.1
ENSR00000144539	Brain_Cortex	ENSR00000144539	22	25942767	25943168	22q12.1
ENSR00000144539	Brain_Hippo	ENSR00000144539	22	25942767	25943168	22q12.1
ENSR00000144539	Brain_Cer	ENSR00000144539	22	25942767	25943168	22q12.1
ENSR00000144540	Brain_Cer	ENSR00000144540	22	25943286	25943653	22q12.1
ENSR00000144540	Brain_Hippo	ENSR00000144540	22	25943286	25943653	22q12.1
ENSR00000144540	Brain_Fro	ENSR00000144540	22	25943286	25943653	22q12.1
ENSR00000146626	Brain_Hypo	ENSR00000146626	22	41813805	41814604	22q13.2
ENSR00000146688	Brain_Cer	ENSR00000146688	22	42327755	42328150	22q13.2
ENSR00000301421	Brain_Cortex	ENSR00000301421	22	25946768	25947167	22q12.1
ENSR00000301973	Brain_Spi	ENSR00000301973	22	42437205	42439604	22q13.2
ENSR00000181343	Brain_Cer	ENSR00000181343	5	60013715	60014524	5q12.1
ENSR00000195227	Brain_Cau	ENSR00000195227	6	28387846	28388136	6p22.1
ENSR00000195227	Brain_Hippo	ENSR00000195227	6	28387846	28388136	6p22.1
ENSR00000195227	Brain_Hypo	ENSR00000195227	6	28387846	28388136	6p22.1
ENSR00000195227	Brain_Fro	ENSR00000195227	6	28387846	28388136	6p22.1
ENSR00000195227	Brain_Cerebellum	ENSR00000195227	6	28387846	28388136	6p22.1
ENSR00000195487	Brain_Amy	ENSR00000195487	6	31036608	31037087	6p21.33
ENSR00000320019	Brain_Amy	ENSR00000320019	6	27389980	27391979	6p22.1
ENSR00000320042	Brain_Sub	ENSR00000320042	6	28066379	28067378	6p22.1
ENSR00000320173	Brain_Sub	ENSR00000320173	6	30244578	30245177	6p22.1
ENSR00000320213	Brain_Hippo	ENSR00000320213	6	31035178	31035577	6p21.33
ENSR00000320213	Brain_Amy	ENSR00000320213	6	31035178	31035577	6p21.33
ENSR00000320213	Brain_Cau	ENSR00000320213	6	31035178	31035577	6p21.33
ENSR00000320214	Brain_Amy	ENSR00000320214	6	31036378	31037177	6p21.33
ENSR00000320215	Brain_Spi	ENSR00000320215	6	31038378	31038977	6p21.33
ENSR00000211619	Brain_Sub	ENSR00000211619	7	42923722	42923898	7p14.1
ENSR00000325922	Brain_Sub	ENSR00000325922	7	42925800	42926199	7p14.1
ENSR00000327037	Brain_Ant	ENSR00000327037	7	86427117	86427516	7q21.12
ENSR00000220957	Brain_Cer	ENSR00000220957	8	10252910	10253311	8p23.1
ENSR00000241687	Brain_Cerebellum	ENSR00000241687	9	130180279	130180480	9q33.3
ENSR00000241957	Brain_Cerebellum	ENSR00000241957	9	131923479	131923880	9q34.11
ENSR00000241958	Brain_Cer	ENSR00000241958	9	131925549	131925897	9q34.11
ENSR00000241959	Brain_Cer	ENSR00000241959	9	131926080	131927279	9q34.11
ENSR00000337880	Brain_Cerebellum	ENSR00000337880	9	130180280	130180679	9q33.3
