tissue_locus	gene.x	tissue.x	Gene.x	CHR.x	START_POS.x	END_POS.x	arm.x	gene.y	tissue.y	Gene.y	CHR.y	START_POS.y	END_POS.y	arm.y
Adipose_sub_3p21.1	ENSR00000152663	Adipose_sub	ENSR00000152663	3	53330318	53330665	3p21.1	ENSG00000163938	Adipose_sub	GNL3	3	52715172	52728513	3p21.1
Adipose_sub_6p22.1	ENSR00000195227	Adipose_sub	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000204632	Adipose_sub	HLA-G	6	29794744	29798902	6p22.1
Adipose_sub_6p22.1	ENSR00000195227	Adipose_sub	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000124613	Adipose_sub	ZNF391	6	27342394	27371683	6p22.1
Adipose_vis_17q21.31	ENSR00000095058	Adipose_vis	ENSR00000095058	17	44423367	44423566	17q21.31	ENSG00000120088	Adipose_vis	CRHR1	17	43861646	43913194	17q21.31
Adipose_vis_17q21.31	ENSR00000283527	Adipose_vis	ENSR00000283527	17	43578767	43579166	17q21.31	ENSG00000120088	Adipose_vis	CRHR1	17	43861646	43913194	17q21.31
Adipose_vis_17q21.31	ENSR00000094947	Adipose_vis	ENSR00000094947	17	43577167	43579166	17q21.31	ENSG00000120088	Adipose_vis	CRHR1	17	43861646	43913194	17q21.31
Adipose_vis_17q21.31	ENSR00000094946	Adipose_vis	ENSR00000094946	17	43576594	43576987	17q21.31	ENSG00000120088	Adipose_vis	CRHR1	17	43861646	43913194	17q21.31
Adipose_vis_5q31.3	ENSR00000187758	Adipose_vis	ENSR00000187758	5	139637522	139638020	5q31.3	ENSG00000113141	Adipose_vis	IK	5	140026643	140042065	5q31.3
Adrenal_16p11.2	ENSR00000085056	Adrenal	ENSR00000085056	16	29532625	29533539	16p11.2	ENSG00000169592	Adrenal	INO80E	16	30007036	30017114	16p11.2
Adrenal_16p11.2	ENSR00000085056	Adrenal	ENSR00000085056	16	29532625	29533539	16p11.2	ENSG00000102886	Adrenal	GDPD3	16	30116131	30124858	16p11.2
Adrenal_17q21.31	ENSR00000094946	Adrenal	ENSR00000094946	17	43576594	43576987	17q21.31	ENSG00000238083	Adrenal	LRRC37A2	17	44588877	44633016	17q21.31
Adrenal_17q21.31	ENSR00000094946	Adrenal	ENSR00000094946	17	43576594	43576987	17q21.31	ENSG00000108379	Adrenal	WNT3	17	44839872	44910520	17q21.31
Adrenal_17q21.31	ENSR00000094947	Adrenal	ENSR00000094947	17	43577167	43579166	17q21.31	ENSG00000238083	Adrenal	LRRC37A2	17	44588877	44633016	17q21.31
Adrenal_17q21.31	ENSR00000094947	Adrenal	ENSR00000094947	17	43577167	43579166	17q21.31	ENSG00000108379	Adrenal	WNT3	17	44839872	44910520	17q21.31
Adrenal_6p22.1	ENSR00000195227	Adrenal	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000281831	Adrenal	AL645929.2	6	29839672	29841560	6p22.1
Adrenal_6p22.1	ENSR00000195227	Adrenal	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000112812	Adrenal	PRSS16	6	27215480	27224403	6p22.1
Adrenal_6p22.1	ENSR00000195227	Adrenal	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000197062	Adrenal	ZSCAN26	6	28234788	28246001	6p22.1
Adrenal_6p22.1	ENSR00000195227	Adrenal	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000270604	Adrenal	HCG17	6	30201816	30293911	6p22.1
Artery_aor_6p22.1	ENSR00000195227	Artery_aor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000204655	Artery_aor	MOG	6	29624779	29640149	6p22.1
Artery_aor_6p22.1	ENSR00000195227	Artery_aor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000197062	Artery_aor	ZSCAN26	6	28234788	28246001	6p22.1
Artery_aor_6p22.1	ENSR00000195227	Artery_aor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000197279	Artery_aor	ZNF165	6	28048346	28057341	6p22.1
Artery_aor_6p22.1	ENSR00000195227	Artery_aor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000112812	Artery_aor	PRSS16	6	27215480	27224403	6p22.1
Artery_aor_6p22.1	ENSR00000195227	Artery_aor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000204632	Artery_aor	HLA-G	6	29794744	29798902	6p22.1
Artery_aor_6p22.1	ENSR00000195227	Artery_aor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000234127	Artery_aor	TRIM26	6	30152232	30181204	6p22.1
Artery_cor_6p22.1	ENSR00000195227	Artery_cor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000187987	Artery_cor	ZSCAN23	6	28399707	28411279	6p22.1
Artery_cor_6p22.1	ENSR00000195227	Artery_cor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000204632	Artery_cor	HLA-G	6	29794744	29798902	6p22.1
Artery_cor_6p22.1	ENSR00000195227	Artery_cor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000112812	Artery_cor	PRSS16	6	27215480	27224403	6p22.1
Artery_cor_6p22.1	ENSR00000195227	Artery_cor	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000124613	Artery_cor	ZNF391	6	27342394	27371683	6p22.1
Artery_tib_17q21.31	ENSR00000095059	Artery_tib	ENSR00000095059	17	44425167	44426566	17q21.31	ENSG00000176681	Artery_tib	LRRC37A	17	44370099	44415160	17q21.31
Artery_tib_17q21.31	ENSR00000095058	Artery_tib	ENSR00000095058	17	44423367	44423566	17q21.31	ENSG00000176681	Artery_tib	LRRC37A	17	44370099	44415160	17q21.31
Brain_Amy_6p21.33	ENSR00000320214	Brain_Amy	ENSR00000320214	6	31036378	31037177	6p21.33	ENSG00000204463	Brain_Amy	BAG6	6	31606805	31620482	6p21.33
Brain_Amy_6p21.33	ENSR00000320214	Brain_Amy	ENSR00000320214	6	31036378	31037177	6p21.33	ENSG00000137411	Brain_Amy	VARS2	6	30881982	30894236	6p21.33
Brain_Amy_6p21.33	ENSR00000320214	Brain_Amy	ENSR00000320214	6	31036378	31037177	6p21.33	ENSG00000137343	Brain_Amy	ATAT1	6	30594619	30614600	6p21.33
Brain_Amy_6p21.33	ENSR00000320213	Brain_Amy	ENSR00000320213	6	31035178	31035577	6p21.33	ENSG00000204463	Brain_Amy	BAG6	6	31606805	31620482	6p21.33
Brain_Amy_6p21.33	ENSR00000320213	Brain_Amy	ENSR00000320213	6	31035178	31035577	6p21.33	ENSG00000137411	Brain_Amy	VARS2	6	30881982	30894236	6p21.33
Brain_Amy_6p21.33	ENSR00000320213	Brain_Amy	ENSR00000320213	6	31035178	31035577	6p21.33	ENSG00000137343	Brain_Amy	ATAT1	6	30594619	30614600	6p21.33
