gene	tissue	Gene	CHR	START_POS	END_POS	arm	tissue_locus
ENSG00000007923	Artery_tib	DNAJC11	1	6694228	6761984	1p36.31	Artery_tib_1p36.31
ENSG00000054282	Heart_Atr	SDCCAG8	1	243419336	243663393	1q43	Heart_Atr_1q43
ENSG00000054282	Lung	SDCCAG8	1	243419336	243663393	1q43	Lung_1q43
ENSG00000054282	Cells_ebv	SDCCAG8	1	243419336	243663393	1q43	Cells_ebv_1q43
ENSG00000066056	Cells_fibroblast	TIE1	1	43766653	43788779	1p34.2	Cells_fibroblast_1p34.2
ENSG00000117407	Brain_Cer	ARTN	1	44398992	44402912	1p34.1	Brain_Cer_1p34.1
ENSG00000117593	Brain_Amy	DARS2	1	173793791	173827946	1q25.1	Brain_Amy_1q25.1
ENSG00000117593	Esophagus_mus	DARS2	1	173793791	173827946	1q25.1	Esophagus_mus_1q25.1
ENSG00000117601	Heart_Left	SERPINC1	1	173872942	173886516	1q25.1	Heart_Left_1q25.1
ENSG00000117601	Adrenal	SERPINC1	1	173872942	173886516	1q25.1	Adrenal_1q25.1
ENSG00000117601	Whole_blood	SERPINC1	1	173872942	173886516	1q25.1	Whole_blood_1q25.1
ENSG00000117601	Artery_aor	SERPINC1	1	173872942	173886516	1q25.1	Artery_aor_1q25.1
ENSG00000126091	Muscle_skeletal	ST3GAL3	1	44171495	44396837	1p34.1	Muscle_skeletal_1p34.1
ENSG00000134259	Artery_aor	NGF	1	115828539	115880857	1p13.2	Artery_aor_1p13.2
ENSG00000134698	Pancreas	AGO4	1	36273617	36323491	1p34.3	Pancreas_1p34.3
ENSG00000135870	Esophagus_mus	RC3H1	1	173900352	173991435	1q25.1	Esophagus_mus_1q25.1
ENSG00000142599	Whole_blood	RERE	1	8412457	8908980	1p36.23	Whole_blood_1p36.23
ENSG00000142599	Adipose_vis	RERE	1	8412457	8908980	1p36.23	Adipose_vis_1p36.23
ENSG00000142599	Brain_Cau	RERE	1	8412457	8908980	1p36.23	Brain_Cau_1p36.23
ENSG00000142599	Spleen	RERE	1	8412457	8908980	1p36.23	Spleen_1p36.23
ENSG00000142599	Adipose_sub	RERE	1	8412457	8908980	1p36.23	Adipose_sub_1p36.23
ENSG00000142686	Nerve	C1orf216	1	36179478	36184495	1p34.3	Nerve_1p34.3
ENSG00000142686	Lung	C1orf216	1	36179478	36184495	1p34.3	Lung_1p34.3
ENSG00000142686	Adipose_vis	C1orf216	1	36179478	36184495	1p34.3	Adipose_vis_1p34.3
ENSG00000143578	Adrenal	CREB3L4	1	153940010	153946837	1q21.3	Adrenal_1q21.3
