gene	tissue	Gene	CHR	START_POS	END_POS	arm	tissue_locus
ENSG00000117407	Brain_Cer	ARTN	1	44398992	44402912	1p34.1	Brain_Cer_1p34.1
ENSG00000117593	Brain_Amy	DARS2	1	173793791	173827946	1q25.1	Brain_Amy_1q25.1
ENSG00000142599	Brain_Cau	RERE	1	8412457	8908980	1p36.23	Brain_Cau_1p36.23
ENSG00000143603	Brain_Nuc	KCNN3	1	154669931	154842757	1q21.3	Brain_Nuc_1q21.3
ENSG00000143603	Brain_Hippo	KCNN3	1	154669931	154842757	1q21.3	Brain_Hippo_1q21.3
ENSG00000143641	Brain_Cerebellum	GALNT2	1	230193737	230417868	1q42.13	Brain_Cerebellum_1q42.13
ENSG00000162753	Brain_Cau	SLC9C2	1	173469599	173572211	1q25.1	Brain_Cau_1q25.1
ENSG00000162753	Brain_Spi	SLC9C2	1	173469599	173572211	1q25.1	Brain_Spi_1q25.1
ENSG00000162753	Brain_Cortex	SLC9C2	1	173469599	173572211	1q25.1	Brain_Cortex_1q25.1
ENSG00000003509	Brain_Cer	NDUFAF7	2	37458774	37480546	2p22.2	Brain_Cer_2p22.2
ENSG00000003509	Brain_Cerebellum	NDUFAF7	2	37458774	37480546	2p22.2	Brain_Cerebellum_2p22.2
ENSG00000115073	Brain_Cerebellum	ACTR1B	2	98272402	98280507	2q11.2	Brain_Cerebellum_2q11.2
ENSG00000115816	Brain_Cau	CEBPZ	2	37428755	37458739	2p22.2	Brain_Cau_2p22.2
ENSG00000116127	Brain_Nuc	ALMS1	2	73612886	73852293	2p13.1	Brain_Nuc_2p13.1
ENSG00000016864	Brain_Nuc	GLT8D1	3	52728504	52740048	3p21.1	Brain_Nuc_3p21.1
ENSG00000055955	Brain_Amy	ITIH4	3	52846978	52864704	3p21.1	Brain_Amy_3p21.1
ENSG00000114054	Brain_Cau	PCCB	3	135969182	136056738	3q22.3	Brain_Cau_3q22.3
ENSG00000114054	Brain_Put	PCCB	3	135969182	136056738	3q22.3	Brain_Put_3q22.3
ENSG00000114735	Brain_Put	HEMK1	3	50606583	50633599	3p21.2	Brain_Put_3p21.2
