gene	tissue	Gene	CHR	START_POS	END_POS	arm	tissue_locus
ENSR00000013460	Brain_Cer	ENSR00000013460	1	149989361	149989560	1q21.2	Brain_Cer_1q21.2
ENSR00000032823	Brain_Cerebellum	ENSR00000032823	10	104669713	104670164	10q24.32	Brain_Cerebellum_10q24.32
ENSR00000075855	Brain_Cer	ENSR00000075855	15	43844477	43844944	15q15.3	Brain_Cer_15q15.3
ENSR00000094945	Brain_Put	ENSR00000094945	17	43571860	43572604	17q21.31	Brain_Put_17q21.31
ENSR00000094945	Brain_Hypo	ENSR00000094945	17	43571860	43572604	17q21.31	Brain_Hypo_17q21.31
ENSR00000094946	Brain_Put	ENSR00000094946	17	43576594	43576987	17q21.31	Brain_Put_17q21.31
ENSR00000095056	Brain_Amy	ENSR00000095056	17	44420664	44421105	17q21.31	Brain_Amy_17q21.31
ENSR00000095057	Brain_Ant	ENSR00000095057	17	44422567	44422966	17q21.31	Brain_Ant_17q21.31
ENSR00000095057	Brain_Put	ENSR00000095057	17	44422567	44422966	17q21.31	Brain_Put_17q21.31
ENSR00000095058	Brain_Ant	ENSR00000095058	17	44423367	44423566	17q21.31	Brain_Ant_17q21.31
ENSR00000095059	Brain_Ant	ENSR00000095059	17	44425167	44426566	17q21.31	Brain_Ant_17q21.31
ENSR00000095059	Brain_Put	ENSR00000095059	17	44425167	44426566	17q21.31	Brain_Put_17q21.31
ENSR00000095059	Brain_Hypo	ENSR00000095059	17	44425167	44426566	17q21.31	Brain_Hypo_17q21.31
ENSR00000095059	Brain_Amy	ENSR00000095059	17	44425167	44426566	17q21.31	Brain_Amy_17q21.31
ENSR00000095079	Brain_Ant	ENSR00000095079	17	44643167	44644566	17q21.31	Brain_Ant_17q21.31
ENSR00000095079	Brain_Amy	ENSR00000095079	17	44643167	44644566	17q21.31	Brain_Amy_17q21.31
ENSR00000283527	Brain_Hypo	ENSR00000283527	17	43578767	43579166	17q21.31	Brain_Hypo_17q21.31
ENSR00000119069	Brain_Cerebellum	ENSR00000119069	2	73943328	73944527	2p13.1	Brain_Cerebellum_2p13.1
ENSR00000119070	Brain_Cerebellum	ENSR00000119070	2	73944928	73945127	2p13.1	Brain_Cerebellum_2p13.1
ENSR00000128482	Brain_Amy	ENSR00000128482	2	198753126	198754524	2q33.1	Brain_Amy_2q33.1
ENSR00000128482	Brain_Sub	ENSR00000128482	2	198753126	198754524	2q33.1	Brain_Sub_2q33.1
ENSR00000128482	Brain_Hypo	ENSR00000128482	2	198753126	198754524	2q33.1	Brain_Hypo_2q33.1
ENSR00000128680	Brain_Hypo	ENSR00000128680	2	201261724	201261923	2q33.1	Brain_Hypo_2q33.1
ENSR00000128681	Brain_Hypo	ENSR00000128681	2	201262438	201262973	2q33.1	Brain_Hypo_2q33.1
ENSR00000291575	Brain_Cerebellum	ENSR00000291575	2	73857528	73858327	2p13.1	Brain_Cerebellum_2p13.1
ENSR00000291586	Brain_Cerebellum	ENSR00000291586	2	73939928	73942327	2p13.1	Brain_Cerebellum_2p13.1
ENSR00000295531	Brain_Spi	ENSR00000295531	2	200672724	200673123	2q33.1	Brain_Spi_2q33.1
ENSR00000211619	Brain_Sub	ENSR00000211619	7	42923722	42923898	7p14.1	Brain_Sub_7p14.1
ENSR00000325922	Brain_Sub	ENSR00000325922	7	42925800	42926199	7p14.1	Brain_Sub_7p14.1
ENSR00000327037	Brain_Ant	ENSR00000327037	7	86427117	86427516	7q21.12	Brain_Ant_7q21.12
