gene	tissue	Gene	CHR	START_POS	END_POS	arm	tissue_locus
ENSR00000004715	Skin_sun	ENSR00000004715	1	36311078	36311927	1p34.3	Skin_sun_1p34.3
ENSR00000004732	Cells_ebv	ENSR00000004732	1	36488994	36489291	1p34.3	Cells_ebv_1p34.3
ENSR00000013460	Brain_Cer	ENSR00000013460	1	149989361	149989560	1q21.2	Brain_Cer_1q21.2
ENSR00000013478	Nerve	ENSR00000013478	1	150149027	150149635	1q21.2	Nerve_1q21.2
ENSR00000013481	Nerve	ENSR00000013481	1	150158247	150160257	1q21.2	Nerve_1q21.2
ENSR00000021120	Adipose_sub	ENSR00000021120	1	226808025	226808575	1q42.12	Adipose_sub_1q42.12
ENSR00000021120	Pituitary	ENSR00000021120	1	226808025	226808575	1q42.12	Pituitary_1q42.12
ENSR00000022815	Adipose_sub	ENSR00000022815	1	243657103	243657302	1q43	Adipose_sub_1q43
ENSR00000022815	Artery_tib	ENSR00000022815	1	243657103	243657302	1q43	Artery_tib_1q43
ENSR00000022815	Adrenal	ENSR00000022815	1	243657103	243657302	1q43	Adrenal_1q43
ENSR00000022815	Skin_sun	ENSR00000022815	1	243657103	243657302	1q43	Skin_sun_1q43
ENSR00000022821	Nerve	ENSR00000022821	1	243682248	243682693	1q43	Nerve_1q43
ENSR00000022919	Testis	ENSR00000022919	1	244504609	244505702	1q44	Testis_1q44
ENSR00000022927	Testis	ENSR00000022927	1	244545102	244545903	1q44	Testis_1q44
ENSR00000254381	Uterus	ENSR00000254381	1	149925113	149925912	1q21.2	Uterus_1q21.2
ENSR00000254386	Colon_sigmoid	ENSR00000254386	1	150159653	150160057	1q21.2	Colon_sigmoid_1q21.2
ENSR00000254386	Nerve	ENSR00000254386	1	150159653	150160057	1q21.2	Nerve_1q21.2
ENSR00000255361	Colon_sigmoid	ENSR00000255361	1	173462340	173462739	1q25.1	Colon_sigmoid_1q25.1
ENSR00000257035	Skin_sun	ENSR00000257035	1	226810102	226810701	1q42.12	Skin_sun_1q42.12
ENSR00000032823	Brain_Cerebellum	ENSR00000032823	10	104669713	104670164	10q24.32	Brain_Cerebellum_10q24.32
ENSR00000032845	Artery_tib	ENSR00000032845	10	104905358	104905557	10q24.33	Artery_tib_10q24.33
ENSR00000045124	Skin_no_sun	ENSR00000045124	11	113248343	113248811	11q23.2	Skin_no_sun_11q23.2
ENSR00000047762	Breast	ENSR00000047762	12	2049215	2049489	12p13.33	Breast_12p13.33
ENSR00000047799	Heart_Left	ENSR00000047799	12	2294996	2295542	12p13.33	Heart_Left_12p13.33
ENSR00000055801	Cells_ebv	ENSR00000055801	12	95173144	95173856	12q22	Cells_ebv_12q22
ENSR00000057230	Vagina	ENSR00000057230	12	110311443	110311775	12q24.11	Vagina_12q24.11
ENSR00000269651	Cells_ebv	ENSR00000269651	12	95167777	95168176	12q22	Cells_ebv_12q22
ENSR00000269652	Cells_ebv	ENSR00000269652	12	95175777	95176176	12q22	Cells_ebv_12q22
ENSR00000270189	Testis	ENSR00000270189	12	111038006	111038605	12q24.11	Testis_12q24.11
ENSR00000270192	Cells_ebv	ENSR00000270192	12	111103006	111103205	12q24.11	Cells_ebv_12q24.11
ENSR00000062054	Uterus	ENSR00000062054	13	44404337	44405238	13q14.11	Uterus_13q14.11
ENSR00000069213	Adipose_vis	ENSR00000069213	14	60561719	60563317	14q23.1	Adipose_vis_14q23.1
ENSR00000073569	Pancreas	ENSR00000073569	14	103978938	103979938	14q32.32	Pancreas_14q32.32
ENSR00000075855	Brain_Cer	ENSR00000075855	15	43844477	43844944	15q15.3	Brain_Cer_15q15.3
ENSR00000278752	Pituitary	ENSR00000278752	15	85761697	85764092	15q25.3	Pituitary_15q25.3
ENSR00000089698	Spleen	ENSR00000089698	16	89453036	89453328	16q24.3	Spleen_16q24.3
ENSR00000090205	Spleen	ENSR00000090205	17	2098294	2099295	17p13.3	Spleen_17p13.3
ENSR00000094945	Brain_Put	ENSR00000094945	17	43571860	43572604	17q21.31	Brain_Put_17q21.31
ENSR00000094945	Spleen	ENSR00000094945	17	43571860	43572604	17q21.31	Spleen_17q21.31
ENSR00000094945	Brain_Hypo	ENSR00000094945	17	43571860	43572604	17q21.31	Brain_Hypo_17q21.31
ENSR00000094946	Spleen	ENSR00000094946	17	43576594	43576987	17q21.31	Spleen_17q21.31
ENSR00000094946	Brain_Put	ENSR00000094946	17	43576594	43576987	17q21.31	Brain_Put_17q21.31
ENSR00000094946	Lung	ENSR00000094946	17	43576594	43576987	17q21.31	Lung_17q21.31
ENSR00000094947	Spleen	ENSR00000094947	17	43577167	43579166	17q21.31	Spleen_17q21.31
ENSR00000095056	Brain_Amy	ENSR00000095056	17	44420664	44421105	17q21.31	Brain_Amy_17q21.31
ENSR00000095056	Lung	ENSR00000095056	17	44420664	44421105	17q21.31	Lung_17q21.31
ENSR00000095057	Brain_Put	ENSR00000095057	17	44422567	44422966	17q21.31	Brain_Put_17q21.31
