gene_name gene zscore effect_size pvalue var_g pred_perf_r2 pred_perf_pval pred_perf_qval n_snps_used n_snps_in_cov n_snps_in_model tissue ENSG CHR START_POS END_POS arm_vector tissuearm
ENSR00000278747 ENSR00000278747 -6.01596013768668 -0.426905366795292 1.78823575959934e-09 0.00594132881140877 0.0901372108770012 0.00613503120516781 0.00971723063368861 41 45 45 Brain_Anterior_cingulate_cortex_BA24 ENSR00000278747 15 84882353 84885152 15q25.2 Brain_Anterior_cingulate_cortex_BA24_15q25.2
GOLGA6L9 ENSG00000197978 4.7631535589191 0.102972289835871 1.905906911852e-06 0.0640853524847824 0.184073534688076 5.89480050295447e-08 1.13810461164738e-06 16 17 17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000197978 15 82722223 82731338 15q25.2 Brain_Anterior_cingulate_cortex_BA24_15q25.2
RPS17 ENSG00000182774 5.3058709990105 0.128937075767559 1.12136243202046e-07 0.0456560125921895 0.0393534133998112 0.0160117061964644 0.0870398945538885 22 22 22 Brain_Anterior_cingulate_cortex_BA24 ENSG00000182774 15 83205501 83209210 15q25.2 Brain_Anterior_cingulate_cortex_BA24_15q25.2
ENSR00000278747 ENSR00000278747 -5.8933188551072 -0.276210116363095 3.78515006047404e-09 0.0132565333156516 0.0626313578319291 0.00867507737515334 0.0118723958657248 21 33 33 Brain_Cortex ENSR00000278747 15 84882353 84885152 15q25.2 Brain_Cortex_15q25.2
AC048382.5 ENSG00000275120 4.97318455566189 0.174315367047086 6.58619045913286e-07 0.0237119199778839 0.0327811566640484 0.00937743483539787 0.0356213577653661 5 6 6 Brain_Cortex ENSG00000275120 15 85141040 85177219 15q25.2 Brain_Cortex_15q25.2
BTBD1 ENSG00000064726 -4.66359337111777 -0.0856146940997681 3.10735097610758e-06 0.097792221376447 0.125277334968955 1.9268599971531e-07 1.68139757440688e-06 29 35 35 Brain_Cortex ENSG00000064726 15 83685175 83736004 15q25.2 Brain_Cortex_15q25.2
CPEB1 ENSG00000214575 6.01912856919076 0.259877261497677 1.75358547768832e-09 0.0148081188059324 0.0328380457483524 0.00931504609505218 0.0354292378198588 6 6 6 Brain_Cortex ENSG00000214575 15 83211951 83317612 15q25.2 Brain_Cortex_15q25.2
GOLGA6L9 ENSG00000197978 5.14005541259311 0.0957971153967193 2.74657457818548e-07 0.0848518705536982 0.257122014044892 8.60581095819904e-15 1.6791728723735e-13 16 19 19 Brain_Cortex ENSG00000197978 15 82722223 82731338 15q25.2 Brain_Cortex_15q25.2
RPS17 ENSG00000182774 6.1398557524956 0.126225492038969 8.25964489610839e-10 0.0651217991708538 0.113503917454721 7.83666682737187e-07 6.27022942228172e-06 13 14 14 Brain_Cortex ENSG00000182774 15 83205501 83209210 15q25.2 Brain_Cortex_15q25.2
WDR73 ENSG00000177082 -5.38940487933871 -0.0959359462725369 7.06913835702739e-08 0.0989311962649909 0.162892303075244 1.96666234823264e-09 2.18350481232916e-08 21 23 23 Brain_Cortex ENSG00000177082 15 85182512 85197574 15q25.2 Brain_Cortex_15q25.2
ENSR00000095057 ENSR00000095057 4.84970587926794 0.140055807321172 1.23644676107357e-06 0.0459137495583393 0.215027239080105 4.08978130099971e-05 0.000177791881557349 28 57 57 Brain_Amygdala ENSR00000095057 17 44422567 44422966 17q21.31 Brain_Amygdala_17q21.31
ENSR00000095058 ENSR00000095058 5.29122348457564 0.207500091001195 1.21500785372749e-07 0.0271988595732571 0.246783168146167 9.058708328642e-06 4.57318662397572e-05 9 22 22 Brain_Amygdala ENSR00000095058 17 44423367 44423566 17q21.31 Brain_Amygdala_17q21.31
ENSR00000095059 ENSR00000095059 5.99318027533078 0.115449502666654 2.05776517445181e-09 0.100868118964631 0.222408463286848 2.89418452464626e-05 0.000133217611207982 25 47 47 Brain_Amygdala ENSR00000095059 17 44425167 44426566 17q21.31 Brain_Amygdala_17q21.31
ENSR00000095079 ENSR00000095079 5.51336319790057 0.0644682494575754 3.52040693775398e-08 0.254225151840086 0.153610955339286 0.000662218390628965 0.00174180131316694 28 67 67 Brain_Amygdala ENSR00000095079 17 44643167 44644566 17q21.31 Brain_Amygdala_17q21.31
ARL17A ENSG00000185829 5.27271164181026 0.14578631777428 1.34422681690037e-07 0.0465666315136225 0.141043842696242 1.15644905599719e-05 0.000219117224733636 8 10 10 Brain_Amygdala ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Amygdala_17q21.31
KANSL1-AS1 ENSG00000214401 5.21252972161744 0.0723719119723437 1.86282710704261e-07 0.180871279836937 0.537125628310735 5.47267119383447e-23 2.61402775930619e-20 14 19 19 Brain_Amygdala ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Amygdala_17q21.31
LRRC37A2 ENSG00000238083 6.12383723402202 0.0843075331132639 9.13482140462049e-10 0.177984082848578 0.530697795996435 1.32151087595234e-22 5.42850237623703e-20 17 20 20 Brain_Amygdala ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Amygdala_17q21.31
ENSR00000095057 ENSR00000095057 6.65405423204751 0.176276302130945 2.8512753236603e-11 0.0438463854206316 0.233571454535067 4.24377423081692e-06 1.93094325307079e-05 16 26 26 Brain_Anterior_cingulate_cortex_BA24 ENSR00000095057 17 44422567 44422966 17q21.31 Brain_Anterior_cingulate_cortex_BA24_17q21.31
ENSR00000095058 ENSR00000095058 6.6013306564205 0.119587230279337 4.0748355146399e-11 0.0960622506888649 0.341484549863741 8.22821052687153e-09 8.44285949713774e-08 16 30 30 Brain_Anterior_cingulate_cortex_BA24 ENSR00000095058 17 44423367 44423566 17q21.31 Brain_Anterior_cingulate_cortex_BA24_17q21.31
ENSR00000095059 ENSR00000095059 6.3371445427572 0.100039302157133 2.34062392014613e-10 0.12722503115986 0.529070904940576 1.00208843110546e-14 5.25539710535308e-13 15 31 31 Brain_Anterior_cingulate_cortex_BA24 ENSR00000095059 17 44425167 44426566 17q21.31 Brain_Anterior_cingulate_cortex_BA24_17q21.31
ENSR00000095079 ENSR00000095079 6.33153465644196 0.0824719006616611 2.42734632359285e-10 0.195291287339875 0.390186260022094 3.57573590435243e-10 5.33372596897574e-09 15 27 27 Brain_Anterior_cingulate_cortex_BA24 ENSR00000095079 17 44643167 44644566 17q21.31 Brain_Anterior_cingulate_cortex_BA24_17q21.31
ARL17A ENSG00000185829 5.2490407307545 0.214530639519138 1.52893271089827e-07 0.0220194512796483 0.26841826610249 1.80902292939478e-11 5.77854407647261e-10 10 14 14 Brain_Anterior_cingulate_cortex_BA24 ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Anterior_cingulate_cortex_BA24_17q21.31
KANSL1-AS1 ENSG00000214401 5.5147660924777 0.0740116331673188 3.49244134276493e-08 0.200818296174808 0.514998439770869 1.50744653725638e-24 3.05908194849704e-22 22 29 29 Brain_Anterior_cingulate_cortex_BA24 ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Anterior_cingulate_cortex_BA24_17q21.31
LRRC37A2 ENSG00000238083 6.13988453529895 0.10437443677138 8.25814846994017e-10 0.12145616446939 0.645589097641616 1.79136776118087e-34 3.37086557169843e-31 20 27 27 Brain_Anterior_cingulate_cortex_BA24 ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Anterior_cingulate_cortex_BA24_17q21.31
PLEKHM1 ENSG00000225190 5.15649642605862 0.12858839663811 2.5161328335564e-07 0.0556760166341303 0.134676416310458 4.83093056251567e-06 6.67080932044775e-05 11 15 15 Brain_Anterior_cingulate_cortex_BA24 ENSG00000225190 17 43513266 43568115 17q21.31 Brain_Anterior_cingulate_cortex_BA24_17q21.31
ENSR00000094946 ENSR00000094946 -5.16743192656361 -0.0895917958940052 2.37332364041098e-07 0.11858583940549 0.359189322018006 2.33093222130135e-12 2.77300557361712e-11 30 40 40 Brain_Caudate_basal_ganglia ENSR00000094946 17 43576594 43576987 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
ENSR00000094947 ENSR00000094947 -4.6573335752503 -0.0821469543319237 3.20331186659976e-06 0.112716513610695 0.355754648230654 3.1504039698273e-12 3.56357170357514e-11 26 40 40 Brain_Caudate_basal_ganglia ENSR00000094947 17 43577167 43579166 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
ENSR00000094992 ENSR00000094992 -5.69928322662887 -0.302884734275034 1.20312200314725e-08 0.0126133748982601 0.0823923250168666 0.00205271957004712 0.00370779189354061 9 14 14 Brain_Caudate_basal_ganglia ENSR00000094992 17 44081168 44081911 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
ENSR00000283527 ENSR00000283527 -5.11505280801135 -0.100979443295999 3.13653193606779e-07 0.0916309891117485 0.258809213065709 8.76056079504228e-09 5.16648457143519e-08 27 38 38 Brain_Caudate_basal_ganglia ENSR00000283527 17 43578767 43579166 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
ARHGAP27 ENSG00000159314 5.6839391841343 0.130073461079236 1.3162710081702e-08 0.0659012399903662 0.116633921599366 1.09712182632706e-06 9.83255752086941e-06 14 17 17 Brain_Caudate_basal_ganglia ENSG00000159314 17 43471268 43511787 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
ARL17A ENSG00000185829 5.02557627161014 0.0712172124671735 5.01923029643086e-07 0.174714033476829 0.336597338365597 7.62911609471144e-19 2.92086560953972e-17 22 24 24 Brain_Caudate_basal_ganglia ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
