gene_name gene zscore effect_size pvalue var_g pred_perf_r2 pred_perf_pval pred_perf_qval n_snps_used n_snps_in_cov n_snps_in_model tissue ENSG CHR START_POS END_POS arm_vector
NEBL-AS1 ENSG00000231920 5.22612138057656 0.122653406736274 1.73102745760395e-07 0.0509406858115252 0.0980122388090599 5.71965640133444e-06 4.76198351441519e-05 9 11 11 Brain_Nucleus_accumbens_basal_ganglia ENSG00000231920 10 21462943 21463977 10p12.31
ARID5B ENSG00000150347 4.66695769026141 0.171539830153922 3.05692246471032e-06 0.0213844833400621 0.0460253203476296 0.00907144888281 0.0536792225343866 7 7 7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000150347 10 63661443 63856703 10q21.2
AL138762.1 ENSG00000272572 -4.59481075631605 -0.0735962854679763 4.33142183091038e-06 0.135762702415813 0.162738883776533 4.05609993186302e-07 6.7762076262819e-06 21 22 22 Brain_Anterior_cingulate_cortex_BA24 ENSG00000272572 10 102670860 102672496 10q24.31
AL138762.1 ENSG00000272572 -4.57418498475771 -0.073166224554955 4.78077312831571e-06 0.128628611812838 0.155634519856071 3.4092073269487e-09 2.48827089707859e-08 18 19 19 Brain_Cerebellum ENSG00000272572 10 102670860 102672496 10q24.31
AL138762.1 ENSG00000272572 -4.61004392709693 -0.139698463750684 4.02583897577158e-06 0.0355268243484361 0.0344160348985543 0.035304316621171 0.206998389689475 11 11 11 Brain_Amygdala ENSG00000272572 10 102670860 102672496 10q24.31
SLF2 ENSG00000119906 5.18978710112571 0.389658388181867 2.10534657318622e-07 0.00599241822678619 0.0217405282092515 0.0331314691705673 0.0880778456635484 5 6 6 Brain_Cerebellum ENSG00000119906 10 102672720 102724891 10q24.31
WNT8B ENSG00000075290 -4.51798104324172 -0.24960992501265 6.24320721192234e-06 0.0100995508432215 0.0307568645541032 0.0221657420251662 0.0909969114303153 12 13 13 Brain_Putamen_basal_ganglia ENSG00000075290 10 102222766 102243501 10q24.31
AL356608.1 ENSG00000272912 -4.80567747763156 -0.0604342771067872 1.54228353707327e-06 0.172469488204706 0.223205740807854 4.08467474750275e-11 5.00481163277256e-10 25 26 26 Brain_Cerebellar_Hemisphere ENSG00000272912 10 104674342 104675161 10q24.32
AL356608.1 ENSG00000272912 -7.99482705360191 -0.11287509871685 1.29755876961231e-15 0.132923920520568 0.264932664928608 1.55286104538268e-15 2.09891218310546e-14 18 18 18 Brain_Cerebellum ENSG00000272912 10 104674342 104675161 10q24.32
AL391121.1 ENSG00000272933 -4.73031989895773 -0.161153446292841 2.24166319647534e-06 0.0230027650040108 0.0471220145200208 0.00236328913749382 0.0114315968888455 6 7 7 Brain_Caudate_basal_ganglia ENSG00000272933 10 104402549 104403897 10q24.32
ARL3 ENSG00000138175 8.68863763454087 0.168463087666523 3.66811629571721e-18 0.0631265155764808 0.071358190333164 9.23049981298574e-05 0.000392062771295799 12 12 12 Brain_Cerebellum ENSG00000138175 10 104433488 104474154 10q24.32
ARL3 ENSG00000138175 5.8278642973502 0.140988421928991 5.6141199965212e-09 0.0376766178364903 0.044045636863161 0.005310935524866 0.0194897061092855 11 11 11 Brain_Cerebellar_Hemisphere ENSG00000138175 10 104433488 104474154 10q24.32
AS3MT ENSG00000214435 -7.23056523962461 -0.0815416813737157 4.80987857358747e-13 0.202324721888311 0.357441432676295 7.45120743331298e-18 5.20358992793535e-16 24 26 26 Brain_Hypothalamus ENSG00000214435 10 104629227 104661656 10q24.32
AS3MT ENSG00000214435 -4.66638887704149 -0.0598695547483198 3.06539302416886e-06 0.160042569039003 0.243771196283628 7.84190402246506e-12 1.88066819844549e-10 13 13 13 Brain_Putamen_basal_ganglia ENSG00000214435 10 104629227 104661656 10q24.32
AS3MT ENSG00000214435 -5.41128695357032 -0.0588977359912959 6.25734081606159e-08 0.233427152823663 0.271206129432321 2.85674819868348e-09 1.36830913721557e-07 28 28 28 Brain_Substantia_nigra ENSG00000214435 10 104629227 104661656 10q24.32
AS3MT ENSG00000214435 -5.36793472218897 -0.0879613364801367 7.96433668795821e-08 0.0985186480791695 0.173316763648565 1.56590242163473e-09 2.09744543736859e-08 18 20 20 Brain_Caudate_basal_ganglia ENSG00000214435 10 104629227 104661656 10q24.32
AS3MT ENSG00000214435 -7.3945571431044 -0.0707281662675814 1.41880331792783e-13 0.287345296039435 0.485056860420551 1.16262650804876e-31 6.93315142910555e-30 7 8 8 Brain_Cerebellum ENSG00000214435 10 104629227 104661656 10q24.32
AS3MT ENSG00000214435 -6.81099678827714 -0.0642102379352051 9.69247958045908e-12 0.303350232654258 0.435628679948026 2.95079980581036e-23 1.54274057353652e-21 20 21 21 Brain_Cerebellar_Hemisphere ENSG00000214435 10 104629227 104661656 10q24.32
AS3MT ENSG00000214435 -4.91130239836337 -0.0506221094704187 9.04734329530404e-07 0.24507227077118 0.366931032931283 5.70513613121692e-14 3.69947957825495e-12 22 23 23 Brain_Spinal_cord_cervical_c-1 ENSG00000214435 10 104629227 104661656 10q24.32
CNNM2 ENSG00000148842 6.39211320165459 0.207393219283878 1.63608697794464e-10 0.025288512540251 0.0727896110384724 7.79870248999189e-05 0.00033474306083361 3 3 3 Brain_Cerebellum ENSG00000148842 10 104678051 104849979 10q24.32
CNNM2 ENSG00000148842 5.19575028753908 0.0784096464423029 2.03895803767161e-07 0.11391563914085 0.0847774486566483 3.80754886345663e-05 0.000265650636039764 39 42 42 Brain_Caudate_basal_ganglia ENSG00000148842 10 104678051 104849979 10q24.32
CNNM2 ENSG00000148842 4.94142917047162 0.162145346082717 7.75519897931797e-07 0.0225922708668679 0.0364897880298147 0.00646487727875651 0.0289743290539132 7 7 7 Brain_Nucleus_accumbens_basal_ganglia ENSG00000148842 10 104678051 104849979 10q24.32
CNNM2 ENSG00000148842 10.1153740405866 0.238063641669779 4.72209836456217e-24 0.0394826545137883 0.0578974243104334 0.00133877503474657 0.00771181731776711 10 12 12 Brain_Frontal_Cortex_BA9 ENSG00000148842 10 104678051 104849979 10q24.32
CYP17A1 ENSG00000148795 7.94938562575905 0.175975439266065 1.87438741378246e-15 0.0572623761428313 0.0338776161982057 0.00873710792517167 0.037720887184571 29 30 30 Brain_Nucleus_accumbens_basal_ganglia ENSG00000148795 10 104590288 104597229 10q24.32
ENSR00000032823 ENSR00000032823 -8.14866629662525 -0.133134194106304 3.67959788300118e-16 0.100937915400016 0.196608162721927 3.93801469083699e-07 2.35597988729265e-06 11 15 15 Brain_Cerebellum ENSR00000032823 10 104669713 104670164 10q24.32
