gene	tissue	Gene	CHR	START_POS	END_POS	arm
ENSG00000054282	Brain_Cerebellum	SDCCAG8	1	243419336	243663393	1q43
ENSG00000117407	Brain_Cer	ARTN	1	44398992	44402912	1p34.1
ENSG00000117593	Brain_Amy	DARS2	1	173793791	173827946	1q25.1
ENSG00000117601	Brain_Ant	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Brain_Nuc	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000142599	Brain_Cau	RERE	1	8412457	8908980	1p36.23
ENSG00000142599	Brain_Nuc	RERE	1	8412457	8908980	1p36.23
ENSG00000143554	Brain_Cer	SLC27A3	1	153746830	153752633	1q21.3
ENSG00000143578	Brain_Cau	CREB3L4	1	153940010	153946837	1q21.3
ENSG00000143603	Brain_Nuc	KCNN3	1	154669931	154842757	1q21.3
ENSG00000143603	Brain_Hippo	KCNN3	1	154669931	154842757	1q21.3
ENSG00000143641	Brain_Cerebellum	GALNT2	1	230193737	230417868	1q42.13
ENSG00000143641	Brain_Cer	GALNT2	1	230193737	230417868	1q42.13
ENSG00000162753	Brain_Cau	SLC9C2	1	173469599	173572211	1q25.1
ENSG00000162753	Brain_Cortex	SLC9C2	1	173469599	173572211	1q25.1
ENSG00000162753	Brain_Spi	SLC9C2	1	173469599	173572211	1q25.1
ENSG00000163125	Brain_Fro	RPRD2	1	150335567	150449042	1q21.3
ENSG00000163125	Brain_Hippo	RPRD2	1	150335567	150449042	1q21.3
ENSG00000183831	Brain_Ant	ANKRD45	1	173577475	173638990	1q25.1
ENSG00000198198	Brain_Cer	SZT2	1	43855553	43919918	1p34.2
ENSG00000204138	Brain_Cortex	PHACTR4	1	28696093	28826876	1p35.3
ENSG00000231050	Brain_Amy	AL109917.1	1	1822910	1824097	1p36.33
ENSG00000003509	Brain_Cerebellum	NDUFAF7	2	37458774	37480546	2p22.2
ENSG00000003509	Brain_Cer	NDUFAF7	2	37458774	37480546	2p22.2
ENSG00000036257	Brain_Hippo	CUL3	2	225334867	225450114	2q36.2
ENSG00000036257	Brain_Cortex	CUL3	2	225334867	225450114	2q36.2
ENSG00000115073	Brain_Cortex	ACTR1B	2	98272402	98280507	2q11.2
ENSG00000115306	Brain_Spi	SPTBN1	2	54683454	54898583	2p16.2
ENSG00000115816	Brain_Spi	CEBPZ	2	37428755	37458739	2p22.2
ENSG00000115816	Brain_Cau	CEBPZ	2	37428755	37458739	2p22.2
ENSG00000115828	Brain_Nuc	QPCT	2	37569970	37600465	2p22.2
ENSG00000116127	Brain_Nuc	ALMS1	2	73612886	73852293	2p13.1
ENSG00000116127	Brain_Hypo	ALMS1	2	73612886	73852293	2p13.1
ENSG00000138050	Brain_Hippo	THUMPD2	2	39963200	40006407	2p22.1
ENSG00000144021	Brain_Cau	CIAO1	2	96931897	96939911	2q11.2
ENSG00000144035	Brain_Cau	NAT8	2	73867850	73869549	2p13.1
ENSG00000144035	Brain_Cer	NAT8	2	73867850	73869549	2p13.1
ENSG00000157851	Brain_Cerebellum	DPYSL5	2	27070615	27173219	2p23.3
ENSG00000162971	Brain_Fro	TYW5	2	200793636	200820459	2q33.1
ENSG00000162971	Brain_Amy	TYW5	2	200793636	200820459	2q33.1
ENSG00000170802	Brain_Put	FOXN2	2	48541776	48606434	2p16.3
ENSG00000170802	Brain_Cau	FOXN2	2	48541776	48606434	2p16.3
ENSG00000170802	Brain_Sub	FOXN2	2	48541776	48606434	2p16.3
ENSG00000170802	Brain_Spi	FOXN2	2	48541776	48606434	2p16.3
ENSG00000170802	Brain_Fro	FOXN2	2	48541776	48606434	2p16.3
ENSG00000170802	Brain_Hippo	FOXN2	2	48541776	48606434	2p16.3
ENSG00000170802	Brain_Cerebellum	FOXN2	2	48541776	48606434	2p16.3
ENSG00000170802	Brain_Nuc	FOXN2	2	48541776	48606434	2p16.3
ENSG00000170802	Brain_Amy	FOXN2	2	48541776	48606434	2p16.3
ENSG00000170802	Brain_Cer	FOXN2	2	48541776	48606434	2p16.3
ENSG00000243244	Brain_Ant	STON1	2	48756522	48825652	2p16.3
ENSG00000016864	Brain_Nuc	GLT8D1	3	52728504	52740048	3p21.1
ENSG00000055955	Brain_Amy	ITIH4	3	52846978	52864704	3p21.1
ENSG00000114054	Brain_Put	PCCB	3	135969182	136056738	3q22.3
ENSG00000114054	Brain_Cau	PCCB	3	135969182	136056738	3q22.3
ENSG00000114735	Brain_Put	HEMK1	3	50606583	50633599	3p21.2
ENSG00000114841	Brain_Cer	DNAH1	3	52350335	52434507	3p21.1
ENSG00000114854	Brain_Cerebellum	TNNC1	3	52485116	52488057	3p21.1
ENSG00000114902	Brain_Fro	SPCS1	3	52738971	52745164	3p21.1
ENSG00000114904	Brain_Cerebellum	NEK4	3	52742460	52804962	3p21.1
ENSG00000114904	Brain_Cer	NEK4	3	52742460	52804962	3p21.1
ENSG00000114904	Brain_Cortex	NEK4	3	52742460	52804962	3p21.1
ENSG00000157150	Brain_Ant	TIMP4	3	12194568	12200412	3p25.2
ENSG00000163634	Brain_Ant	THOC7	3	63819546	63849544	3p14.1
ENSG00000163634	Brain_Cer	THOC7	3	63819546	63849544	3p14.1
ENSG00000163728	Brain_Cer	TTC14	3	180319951	180335616	3q26.33
ENSG00000163935	Brain_Cerebellum	SFMBT1	3	52937588	53080766	3p21.1
ENSG00000163938	Brain_Cerebellum	GNL3	3	52715172	52728513	3p21.1
ENSG00000163938	Brain_Put	GNL3	3	52715172	52728513	3p21.1
ENSG00000163938	Brain_Fro	GNL3	3	52715172	52728513	3p21.1
ENSG00000163938	Brain_Cau	GNL3	3	52715172	52728513	3p21.1
ENSG00000164078	Brain_Cerebellum	MST1R	3	49924435	49941306	3p21.31
ENSG00000164078	Brain_Nuc	MST1R	3	49924435	49941306	3p21.31
ENSG00000164078	Brain_Cortex	MST1R	3	49924435	49941306	3p21.31
ENSG00000164078	Brain_Cer	MST1R	3	49924435	49941306	3p21.31
ENSG00000164078	Brain_Fro	MST1R	3	49924435	49941306	3p21.31
ENSG00000164088	Brain_Sub	PPM1M	3	52279775	52284615	3p21.2
ENSG00000164088	Brain_Cer	PPM1M	3	52279775	52284615	3p21.2
ENSG00000168237	Brain_Cer	GLYCTK	3	52321105	52329273	3p21.1
ENSG00000168237	Brain_Cortex	GLYCTK	3	52321105	52329273	3p21.1
ENSG00000168237	Brain_Cerebellum	GLYCTK	3	52321105	52329273	3p21.1
ENSG00000168237	Brain_Fro	GLYCTK	3	52321105	52329273	3p21.1
