gene	tissue	Gene	CHR	START_POS	END_POS	arm
ENSR00000013460	Brain_Cer	ENSR00000013460	1	149989361	149989560	1q21.2
ENSR00000032823	Brain_Cerebellum	ENSR00000032823	10	104669713	104670164	10q24.32
ENSR00000075855	Brain_Cer	ENSR00000075855	15	43844477	43844944	15q15.3
ENSR00000278747	Brain_Cortex	ENSR00000278747	15	84882353	84885152	15q25.2
ENSR00000094945	Brain_Put	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Cortex	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Hypo	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094945	Brain_Cau	ENSR00000094945	17	43571860	43572604	17q21.31
ENSR00000094946	Brain_Hippo	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Put	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Nuc	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094946	Brain_Cortex	ENSR00000094946	17	43576594	43576987	17q21.31
ENSR00000094947	Brain_Fro	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094947	Brain_Cortex	ENSR00000094947	17	43577167	43579166	17q21.31
ENSR00000094948	Brain_Cer	ENSR00000094948	17	43651402	43652191	17q21.31
ENSR00000094992	Brain_Cau	ENSR00000094992	17	44081168	44081911	17q21.31
ENSR00000095056	Brain_Amy	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Nuc	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Cortex	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095056	Brain_Fro	ENSR00000095056	17	44420664	44421105	17q21.31
ENSR00000095057	Brain_Ant	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095057	Brain_Fro	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095057	Brain_Put	ENSR00000095057	17	44422567	44422966	17q21.31
ENSR00000095058	Brain_Fro	ENSR00000095058	17	44423367	44423566	17q21.31
