tissue_locus	gene.x	tissue.x	Gene.x	CHR.x	START_POS.x	END_POS.x	arm.x	gene.y	tissue.y	Gene.y	CHR.y	START_POS.y	END_POS.y	arm.y
Brain_Amy_6p22.1	ENSR00000320019	Brain_Amy	ENSR00000320019	6	27389980	27391979	6p22.1	ENSG00000235109	Brain_Amy	ZSCAN31	6	28292470	28324048	6p22.1
Brain_Cau_17q21.31	ENSR00000094992	Brain_Cau	ENSR00000094992	17	44081168	44081911	17q21.31	ENSG00000238083	Brain_Cau	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Cau_17q21.31	ENSR00000094992	Brain_Cau	ENSR00000094992	17	44081168	44081911	17q21.31	ENSG00000264589	Brain_Cau	MAPT-AS1	17	43876756	43973046	17q21.31
Brain_Cau_17q21.31	ENSR00000094992	Brain_Cau	ENSR00000094992	17	44081168	44081911	17q21.31	ENSG00000176681	Brain_Cau	LRRC37A	17	44370099	44415160	17q21.31
Brain_Cau_17q21.31	ENSR00000094992	Brain_Cau	ENSR00000094992	17	44081168	44081911	17q21.31	ENSG00000159314	Brain_Cau	ARHGAP27	17	43471268	43511787	17q21.31
Brain_Cau_17q21.31	ENSR00000094992	Brain_Cau	ENSR00000094992	17	44081168	44081911	17q21.31	ENSG00000214401	Brain_Cau	KANSL1-AS1	17	44270942	44274089	17q21.31
Brain_Cau_17q21.31	ENSR00000094945	Brain_Cau	ENSR00000094945	17	43571860	43572604	17q21.31	ENSG00000238083	Brain_Cau	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Cau_17q21.31	ENSR00000094945	Brain_Cau	ENSR00000094945	17	43571860	43572604	17q21.31	ENSG00000264589	Brain_Cau	MAPT-AS1	17	43876756	43973046	17q21.31
Brain_Cau_17q21.31	ENSR00000094945	Brain_Cau	ENSR00000094945	17	43571860	43572604	17q21.31	ENSG00000176681	Brain_Cau	LRRC37A	17	44370099	44415160	17q21.31
Brain_Cau_17q21.31	ENSR00000094945	Brain_Cau	ENSR00000094945	17	43571860	43572604	17q21.31	ENSG00000159314	Brain_Cau	ARHGAP27	17	43471268	43511787	17q21.31
Brain_Cau_17q21.31	ENSR00000094945	Brain_Cau	ENSR00000094945	17	43571860	43572604	17q21.31	ENSG00000214401	Brain_Cau	KANSL1-AS1	17	44270942	44274089	17q21.31
Brain_Cau_2p13.1	ENSR00000291587	Brain_Cau	ENSR00000291587	2	73948528	73949727	2p13.1	ENSG00000144035	Brain_Cau	NAT8	2	73867850	73869549	2p13.1
Brain_Cau_6p22.1	ENSR00000195227	Brain_Cau	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000197062	Brain_Cau	ZSCAN26	6	28234788	28246001	6p22.1
Brain_Cau_6p22.1	ENSR00000195227	Brain_Cau	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000187987	Brain_Cau	ZSCAN23	6	28399707	28411279	6p22.1
Brain_Cer_17q21.31	ENSR00000094948	Brain_Cer	ENSR00000094948	17	43651402	43652191	17q21.31	ENSG00000238083	Brain_Cer	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Cer_17q21.31	ENSR00000094948	Brain_Cer	ENSR00000094948	17	43651402	43652191	17q21.31	ENSG00000136448	Brain_Cer	NMT1	17	43128978	43186384	17q21.31
Brain_Cer_17q21.31	ENSR00000095059	Brain_Cer	ENSR00000095059	17	44425167	44426566	17q21.31	ENSG00000238083	Brain_Cer	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Cer_17q21.31	ENSR00000095059	Brain_Cer	ENSR00000095059	17	44425167	44426566	17q21.31	ENSG00000136448	Brain_Cer	NMT1	17	43128978	43186384	17q21.31
Brain_Cer_5q31.3	ENSR00000187789	Brain_Cer	ENSR00000187789	5	139770781	139771302	5q31.3	ENSG00000204970	Brain_Cer	PCDHA1	5	140165721	140391932	5q31.3
Brain_Cer_5q31.3	ENSR00000187789	Brain_Cer	ENSR00000187789	5	139770781	139771302	5q31.3	ENSG00000204963	Brain_Cer	PCDHA7	5	140213969	140391929	5q31.3
Brain_Cer_5q31.3	ENSR00000187789	Brain_Cer	ENSR00000187789	5	139770781	139771302	5q31.3	ENSG00000113119	Brain_Cer	TMCO6	5	140019012	140024993	5q31.3
Brain_Cerebellum_17q21.31	ENSR00000095059	Brain_Cerebellum	ENSR00000095059	17	44425167	44426566	17q21.31	ENSG00000267121	Brain_Cerebellum	AC008105.3	17	43268298	43299589	17q21.31
Brain_Cerebellum_17q21.31	ENSR00000095059	Brain_Cerebellum	ENSR00000095059	17	44425167	44426566	17q21.31	ENSG00000176681	Brain_Cerebellum	LRRC37A	17	44370099	44415160	17q21.31
Brain_Cerebellum_17q21.31	ENSR00000095059	Brain_Cerebellum	ENSR00000095059	17	44425167	44426566	17q21.31	ENSG00000264589	Brain_Cerebellum	MAPT-AS1	17	43876756	43973046	17q21.31
Brain_Cerebellum_17q21.31	ENSR00000095058	Brain_Cerebellum	ENSR00000095058	17	44423367	44423566	17q21.31	ENSG00000267121	Brain_Cerebellum	AC008105.3	17	43268298	43299589	17q21.31
Brain_Cerebellum_17q21.31	ENSR00000095058	Brain_Cerebellum	ENSR00000095058	17	44423367	44423566	17q21.31	ENSG00000176681	Brain_Cerebellum	LRRC37A	17	44370099	44415160	17q21.31
Brain_Cerebellum_17q21.31	ENSR00000095058	Brain_Cerebellum	ENSR00000095058	17	44423367	44423566	17q21.31	ENSG00000264589	Brain_Cerebellum	MAPT-AS1	17	43876756	43973046	17q21.31
Brain_Cerebellum_17q21.31	ENSR00000095079	Brain_Cerebellum	ENSR00000095079	17	44643167	44644566	17q21.31	ENSG00000267121	Brain_Cerebellum	AC008105.3	17	43268298	43299589	17q21.31
Brain_Cerebellum_17q21.31	ENSR00000095079	Brain_Cerebellum	ENSR00000095079	17	44643167	44644566	17q21.31	ENSG00000176681	Brain_Cerebellum	LRRC37A	17	44370099	44415160	17q21.31
Brain_Cerebellum_17q21.31	ENSR00000095079	Brain_Cerebellum	ENSR00000095079	17	44643167	44644566	17q21.31	ENSG00000264589	Brain_Cerebellum	MAPT-AS1	17	43876756	43973046	17q21.31
Brain_Cerebellum_6p22.1	ENSR00000195227	Brain_Cerebellum	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000112812	Brain_Cerebellum	PRSS16	6	27215480	27224403	6p22.1
Brain_Cerebellum_6p22.1	ENSR00000195227	Brain_Cerebellum	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000197062	Brain_Cerebellum	ZSCAN26	6	28234788	28246001	6p22.1
Brain_Cerebellum_6p22.1	ENSR00000195227	Brain_Cerebellum	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000198315	Brain_Cerebellum	ZKSCAN8	6	28109661	28127238	6p22.1
Brain_Cortex_15q25.2	ENSR00000278747	Brain_Cortex	ENSR00000278747	15	84882353	84885152	15q25.2	ENSG00000182774	Brain_Cortex	RPS17	15	83205501	83209210	15q25.2
Brain_Cortex_15q25.2	ENSR00000278747	Brain_Cortex	ENSR00000278747	15	84882353	84885152	15q25.2	ENSG00000177082	Brain_Cortex	WDR73	15	85182512	85197574	15q25.2
Brain_Cortex_17q21.31	ENSR00000094945	Brain_Cortex	ENSR00000094945	17	43571860	43572604	17q21.31	ENSG00000214401	Brain_Cortex	KANSL1-AS1	17	44270942	44274089	17q21.31
Brain_Cortex_17q21.31	ENSR00000094947	Brain_Cortex	ENSR00000094947	17	43577167	43579166	17q21.31	ENSG00000214401	Brain_Cortex	KANSL1-AS1	17	44270942	44274089	17q21.31
Brain_Cortex_17q21.31	ENSR00000095056	Brain_Cortex	ENSR00000095056	17	44420664	44421105	17q21.31	ENSG00000214401	Brain_Cortex	KANSL1-AS1	17	44270942	44274089	17q21.31
Brain_Cortex_17q21.31	ENSR00000094946	Brain_Cortex	ENSR00000094946	17	43576594	43576987	17q21.31	ENSG00000214401	Brain_Cortex	KANSL1-AS1	17	44270942	44274089	17q21.31
Brain_Cortex_17q21.31	ENSR00000095059	Brain_Cortex	ENSR00000095059	17	44425167	44426566	17q21.31	ENSG00000214401	Brain_Cortex	KANSL1-AS1	17	44270942	44274089	17q21.31
Brain_Fro_17q21.31	ENSR00000095056	Brain_Fro	ENSR00000095056	17	44420664	44421105	17q21.31	ENSG00000238083	Brain_Fro	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Fro_17q21.31	ENSR00000095056	Brain_Fro	ENSR00000095056	17	44420664	44421105	17q21.31	ENSG00000176681	Brain_Fro	LRRC37A	17	44370099	44415160	17q21.31
Brain_Fro_17q21.31	ENSR00000095058	Brain_Fro	ENSR00000095058	17	44423367	44423566	17q21.31	ENSG00000238083	Brain_Fro	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Fro_17q21.31	ENSR00000095058	Brain_Fro	ENSR00000095058	17	44423367	44423566	17q21.31	ENSG00000176681	Brain_Fro	LRRC37A	17	44370099	44415160	17q21.31
Brain_Fro_17q21.31	ENSR00000283527	Brain_Fro	ENSR00000283527	17	43578767	43579166	17q21.31	ENSG00000238083	Brain_Fro	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Fro_17q21.31	ENSR00000283527	Brain_Fro	ENSR00000283527	17	43578767	43579166	17q21.31	ENSG00000176681	Brain_Fro	LRRC37A	17	44370099	44415160	17q21.31
Brain_Fro_17q21.31	ENSR00000094947	Brain_Fro	ENSR00000094947	17	43577167	43579166	17q21.31	ENSG00000238083	Brain_Fro	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Fro_17q21.31	ENSR00000094947	Brain_Fro	ENSR00000094947	17	43577167	43579166	17q21.31	ENSG00000176681	Brain_Fro	LRRC37A	17	44370099	44415160	17q21.31
