gene	tissue	Gene	CHR	START_POS	END_POS	arm
ENSG00000007923	Artery_tib	DNAJC11	1	6694228	6761984	1p36.31
ENSG00000054282	Stomach	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Skin_no_sun	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Nerve	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Lung	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Heart_Atr	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Brain_Cerebellum	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Pituitary	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Cells_fibroblast	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Pancreas	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Spleen	SDCCAG8	1	243419336	243663393	1q43
ENSG00000054282	Artery_aor	SDCCAG8	1	243419336	243663393	1q43
ENSG00000116353	Pancreas	MECR	1	29519169	29557454	1p35.3
ENSG00000117407	Brain_Cer	ARTN	1	44398992	44402912	1p34.1
ENSG00000117593	Heart_Left	DARS2	1	173793791	173827946	1q25.1
ENSG00000117593	Artery_cor	DARS2	1	173793791	173827946	1q25.1
ENSG00000117593	Esophagus_mus	DARS2	1	173793791	173827946	1q25.1
ENSG00000117593	Adipose_vis	DARS2	1	173793791	173827946	1q25.1
ENSG00000117593	Brain_Amy	DARS2	1	173793791	173827946	1q25.1
ENSG00000117593	Skin_no_sun	DARS2	1	173793791	173827946	1q25.1
ENSG00000117593	Pituitary	DARS2	1	173793791	173827946	1q25.1
ENSG00000117601	Esophagus_gast	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Stomach	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Whole_blood	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Adipose_vis	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Small_intestine	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Heart_Left	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Artery_aor	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Artery_cor	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Adrenal	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000117601	Brain_Nuc	SERPINC1	1	173872942	173886516	1q25.1
ENSG00000123836	Artery_tib	PFKFB2	1	207207711	207254369	1q32.2
ENSG00000126091	Muscle_skeletal	ST3GAL3	1	44171495	44396837	1p34.1
ENSG00000126091	Heart_Left	ST3GAL3	1	44171495	44396837	1p34.1
